Suburb,Rooms,Type,Price,Date,Distance,Bathroom,Car,BuildingArea,Regionname,Age
Moonee Ponds,3,h,1480000,2016,6.9,1,2,142,Western Metropolitan,106
Moonee Ponds,5,t,980000,2017,6.9,2,2,168,Western Metropolitan,13
Moonee Ponds,3,t,842500,2016,6.9,2,1,156,Western Metropolitan,21
Moonee Ponds,4,h,1345000,2016,6.9,2,2,193,Western Metropolitan,106
Moonee Ponds,2,h,849000,2016,6.9,1,1,95,Western Metropolitan,86
Moonee Ponds,3,h,1425000,2016,6.9,1,1,159,Western Metropolitan,116
Moonee Ponds,3,t,1345000,2016,6.9,2,1,287,Western Metropolitan,86
Moonee Ponds,4,t,726000,2016,6.9,2,1,145,Western Metropolitan,16
Moonee Ponds,3,h,1250000,2016,6.9,2,1,222,Western Metropolitan,14
Moonee Ponds,3,t,870000,2016,6.9,2,2,152,Western Metropolitan,16
Moonee Ponds,3,h,1725000,2016,6.9,2,3,203,Western Metropolitan,66
Moonee Ponds,2,u,600000,2016,6.9,1,1,81,Western Metropolitan,51
Moonee Ponds,4,h,1505000,2017,6.9,2,2,164,Western Metropolitan,107
Moonee Ponds,3,h,850000,2016,6.9,2,1,143,Western Metropolitan,101
Moonee Ponds,5,h,1740000,2016,6.9,1,2,155,Western Metropolitan,86
Moonee Ponds,3,t,1130000,2016,6.9,2,2,145,Western Metropolitan,3
Moonee Ponds,3,h,930000,2016,6.9,3,1,132,Western Metropolitan,106
Moonee Ponds,2,t,800000,2016,6.9,2,2,120,Western Metropolitan,46
Moorabbin,3,h,1224000,2016,14.6,1,3,143,Southern Metropolitan,56
Moorabbin,3,h,1000000,2016,14.6,2,2,150,Southern Metropolitan,46
Moorabbin,1,u,380500,2016,14.6,1,1,51,Southern Metropolitan,26
Moorabbin,3,h,1090000,2016,14.6,2,2,160,Southern Metropolitan,56
Moorabbin,3,h,836000,2016,14.6,1,4,165,Southern Metropolitan,46
Moorabbin,3,h,1417250,2016,14.6,2,2,180,Southern Metropolitan,66
Moorabbin,2,h,950000,2016,14.6,1,3,75,Southern Metropolitan,66
Moorabbin,4,h,1140000,2016,14.6,2,1,242,Southern Metropolitan,1
Moorabbin,3,t,750000,2016,14.6,2,1,123,Southern Metropolitan,6
Moorabbin,4,h,1000000,2016,14.6,3,4,159,Southern Metropolitan,56
Moorabbin,4,h,1200000,2016,14.6,2,1,214,Southern Metropolitan,61
Moorabbin,3,h,987000,2016,14.6,1,1,112,Southern Metropolitan,56
Moorabbin,3,h,937000,2016,14.6,2,1,104,Southern Metropolitan,56
Moorabbin,4,h,1426000,2016,14.6,2,1,218,Southern Metropolitan,66
Moorabbin,4,h,1016000,2017,14.6,3,2,188,Southern Metropolitan,17
Moorabbin,3,h,901000,2016,14.6,2,3,133,Southern Metropolitan,61
Moorabbin,4,h,1300000,2016,14.6,3,2,171,Southern Metropolitan,43
Moorabbin,3,h,975000,2016,14.6,1,2,121,Southern Metropolitan,76
Moorabbin,4,h,1070000,2017,14.6,2,1,140,Southern Metropolitan,62
Moorabbin,2,u,639000,2016,14.6,1,1,79,Southern Metropolitan,56
Moorabbin,2,u,605000,2016,14.6,1,2,68,Southern Metropolitan,36
Moorabbin,3,h,960000,2016,14.6,1,1,115,Southern Metropolitan,56
Moorabbin,3,h,725000,2016,14.6,2,1,137,Southern Metropolitan,66
Moorabbin,3,h,800000,2016,14.6,2,2,107,Southern Metropolitan,26
Moorabbin,3,t,917000,2016,14.6,2,2,152,Southern Metropolitan,15
Moorabbin,3,h,890000,2016,14.6,1,1,114,Southern Metropolitan,56
Moorabbin,3,h,1008000,2016,14.6,2,1,160,Southern Metropolitan,56
Moorabbin,2,h,1191000,2016,14.6,1,2,97,Southern Metropolitan,66
Moorabbin,2,h,776000,2016,14.6,1,1,101,Southern Metropolitan,14
Moorabbin,4,h,1035000,2016,14.6,1,2,161,Southern Metropolitan,66
Moorabbin,4,h,1160000,2016,14.6,2,2,199,Southern Metropolitan,5
Moorabbin,4,t,1105000,2016,14.6,2,2,187,Southern Metropolitan,1
Newport,3,h,826000,2016,8.4,1,2,100,Western Metropolitan,59
Newport,3,h,900000,2016,8.4,2,2,176,Western Metropolitan,6
Newport,3,t,962000,2016,8.4,2,2,179,Western Metropolitan,5
Newport,2,h,800000,2017,8.4,1,1,73,Western Metropolitan,77
Newport,4,h,710000,2016,8.4,1,2,108,Western Metropolitan,61
Newport,4,h,940000,2016,8.4,2,1,172,Western Metropolitan,86
Newport,3,h,655800,2016,8.4,2,1,102,Western Metropolitan,7
Newport,4,h,1082000,2016,8.4,3,2,165,Western Metropolitan,5
Newport,3,h,1210000,2016,8.4,1,1,144,Western Metropolitan,96
Newport,3,h,880000,2016,8.4,1,1,111,Western Metropolitan,66
Newport,4,h,1260000,2016,8.4,1,3,159,Western Metropolitan,56
Newport,3,h,1400000,2016,8.4,2,3,195,Western Metropolitan,10
Newport,3,h,995000,2016,8.4,1,2,118,Western Metropolitan,56
Newport,2,h,962000,2016,8.4,1,1,94,Western Metropolitan,96
Newport,3,h,1305000,2016,8.4,1,0,112,Western Metropolitan,116
Newport,3,h,810000,2016,8.4,1,1,84,Western Metropolitan,46
Newport,4,h,1620000,2016,8.4,3,1,233,Western Metropolitan,1
Newport,3,h,923000,2016,8.4,1,0,118,Western Metropolitan,116
Newport,2,h,1030000,2016,8.4,1,2,136,Western Metropolitan,86
Newport,3,h,1046000,2016,8.4,2,2,125,Western Metropolitan,126
Newport,2,h,740000,2016,8.4,2,1,127,Western Metropolitan,10
Newport,4,h,970000,2016,8.4,1,1,151,Western Metropolitan,101
Newport,3,h,950000,2016,8.4,1,2,145,Western Metropolitan,66
Newport,4,h,1280000,2016,8.4,2,1,153,Western Metropolitan,86
Newport,4,h,1040000,2016,8.4,2,2,198,Western Metropolitan,12
Newport,3,h,1176000,2016,8.4,1,2,111,Western Metropolitan,56
Newport,4,h,1265000,2016,8.4,2,2,185,Western Metropolitan,66
Newport,2,h,801000,2016,8.4,1,1,106,Western Metropolitan,96
Newport,3,t,770000,2016,8.4,2,2,132,Western Metropolitan,1
Newport,3,h,993000,2016,8.4,2,2,158,Western Metropolitan,116
Newport,2,h,650000,2016,8.4,1,1,62,Western Metropolitan,126
Newport,3,h,891500,2016,8.4,1,0,130,Western Metropolitan,96
Newport,3,h,805000,2016,8.4,1,2,104,Western Metropolitan,86
Newport,2,h,680000,2016,8.4,1,1,101,Western Metropolitan,16
Newport,2,h,793000,2016,8.4,1,1,140,Western Metropolitan,21
Newport,3,t,747000,2016,8.4,2,2,170,Western Metropolitan,11
Newport,2,h,896000,2016,8.4,1,0,95,Western Metropolitan,116
Newport,2,h,890000,2017,8.4,1,0,90,Western Metropolitan,117
Newport,4,t,930000,2016,8.4,3,3,188,Western Metropolitan,7
Newport,3,h,1151000,2016,8.4,1,5,120,Western Metropolitan,96
Newport,4,t,820000,2016,8.4,2,2,204,Western Metropolitan,10
Newport,2,h,816000,2016,8.4,1,1,104,Western Metropolitan,86
Newport,2,h,760000,2016,8.4,1,2,109,Western Metropolitan,86
Newport,8,h,881000,2016,8.4,2,4,190,Western Metropolitan,96
Newport,3,h,900000,2016,8.4,2,2,168,Western Metropolitan,3
Niddrie,3,t,830000,2016,11.2,3,2,236,Western Metropolitan,3
Niddrie,4,h,1126000,2016,11.2,2,2,150,Western Metropolitan,56
Niddrie,2,u,660000,2016,11.2,2,1,113,Western Metropolitan,10
Niddrie,3,t,770000,2016,11.2,2,1,145,Western Metropolitan,5
Niddrie,4,h,1350000,2016,11.2,3,2,242,Western Metropolitan,31
Niddrie,3,t,820000,2016,11.2,2,1,180,Western Metropolitan,4
Niddrie,3,h,991000,2017,11.2,1,1,139,Western Metropolitan,67
Niddrie,2,h,657000,2016,11.2,2,1,104,Western Metropolitan,66
Niddrie,3,h,710000,2016,11.2,2,1,140,Western Metropolitan,66
Niddrie,3,t,840000,2016,11.2,2,2,180,Western Metropolitan,26
Niddrie,5,h,1400000,2016,11.2,2,2,290,Western Metropolitan,11
Niddrie,4,h,1080000,2016,11.2,3,2,162,Western Metropolitan,40
Niddrie,3,h,1015000,2016,11.2,1,1,125,Western Metropolitan,66
Niddrie,3,h,1105000,2016,11.2,1,1,119,Western Metropolitan,66
North Melbourne,4,h,2920000,2016,2.3,3,4,276,Northern Metropolitan,136
North Melbourne,3,h,1340000,2017,2.3,1,0,129,Northern Metropolitan,37
North Melbourne,2,t,1105000,2017,2.3,2,1,119,Northern Metropolitan,7
North Melbourne,1,u,410000,2016,2.3,1,1,55,Northern Metropolitan,5
North Melbourne,3,h,1325000,2016,2.3,2,1,139,Northern Metropolitan,5
North Melbourne,2,u,450000,2016,2.3,1,1,71,Northern Metropolitan,46
North Melbourne,3,h,1385000,2016,2.3,2,0,150,Northern Metropolitan,126
North Melbourne,2,h,990000,2016,2.3,2,1,120,Northern Metropolitan,8
North Melbourne,3,h,1470000,2016,2.3,1,0,93,Northern Metropolitan,86
North Melbourne,2,h,1010000,2016,2.3,2,0,100,Northern Metropolitan,116
North Melbourne,2,h,1266000,2016,2.3,1,0,106,Northern Metropolitan,56
North Melbourne,2,u,560000,2017,2.3,1,1,68,Northern Metropolitan,42
North Melbourne,2,u,550055,2016,2.3,1,2,65,Northern Metropolitan,45
North Melbourne,3,t,1000000,2016,2.3,2,1,170,Northern Metropolitan,96
North Melbourne,2,h,885000,2016,2.3,1,1,73,Northern Metropolitan,136
Northcote,2,h,1286000,2016,5.5,1,1,108,Northern Metropolitan,126
Northcote,3,h,1200000,2016,5.5,1,1,125,Northern Metropolitan,96
Northcote,3,h,1382500,2016,5.5,2,2,188,Northern Metropolitan,9
Northcote,4,h,1600000,2016,5.5,2,1,179,Northern Metropolitan,106
Northcote,3,h,1710000,2016,5.5,1,1,160,Northern Metropolitan,126
Northcote,6,h,2000000,2016,5.5,2,2,257,Northern Metropolitan,24
Northcote,2,t,650000,2016,5.5,2,2,100,Northern Metropolitan,3
Northcote,4,h,1700000,2016,5.5,2,1,218,Northern Metropolitan,116
Northcote,2,h,1575000,2016,5.5,1,3,126,Northern Metropolitan,71
Northcote,2,h,950000,2016,5.5,1,1,73,Northern Metropolitan,96
Northcote,3,h,1655000,2016,5.5,1,3,101,Northern Metropolitan,92
Northcote,3,h,1255000,2016,5.5,2,1,156,Northern Metropolitan,106
Northcote,2,h,1020000,2016,5.5,1,2,115,Northern Metropolitan,81
Northcote,2,h,790000,2016,5.5,1,1,78,Northern Metropolitan,16
Northcote,3,h,1190000,2016,5.5,1,1,125,Northern Metropolitan,96
Northcote,3,t,865000,2016,5.5,1,2,108,Northern Metropolitan,10
Northcote,4,h,2175000,2016,5.5,2,1,186,Northern Metropolitan,126
Northcote,2,h,890000,2016,5.5,1,1,92,Northern Metropolitan,106
Northcote,5,h,2700000,2016,5.5,3,3,331,Northern Metropolitan,96
Northcote,2,h,1101000,2016,5.5,1,0,99,Northern Metropolitan,106
Northcote,3,h,1050000,2016,5.5,1,0,106,Northern Metropolitan,106
Northcote,3,h,1010000,2016,5.5,1,1,124,Northern Metropolitan,16
Northcote,3,h,1900000,2016,5.5,1,1,174,Northern Metropolitan,106
Northcote,2,h,888000,2016,5.5,1,1,102,Northern Metropolitan,31
Northcote,2,h,1020000,2016,5.5,1,1,97,Northern Metropolitan,96
Northcote,2,h,844000,2016,5.5,1,1,106,Northern Metropolitan,21
Northcote,3,t,900000,2016,5.5,2,2,138,Northern Metropolitan,4
Northcote,3,h,1300000,2016,5.5,1,1,135,Northern Metropolitan,96
Northcote,3,u,810000,2016,5.5,1,2,119,Northern Metropolitan,16
Northcote,2,u,665000,2017,5.5,1,1,76,Northern Metropolitan,42
Northcote,3,h,2315000,2017,5.5,1,2,143,Northern Metropolitan,57
Northcote,2,h,1170000,2016,5.5,1,3,93,Northern Metropolitan,96
Northcote,3,h,1715000,2016,5.5,1,1,143,Northern Metropolitan,116
Northcote,3,h,1474000,2016,5.5,1,0,131,Northern Metropolitan,106
Northcote,2,h,1035000,2016,5.5,1,2,102,Northern Metropolitan,126
Northcote,3,h,1760000,2016,5.5,2,2,180,Northern Metropolitan,96
Northcote,2,h,1095000,2016,5.5,1,2,86,Northern Metropolitan,106
Northcote,3,h,1225000,2016,5.5,1,2,135,Northern Metropolitan,106
Northcote,2,h,1211000,2016,5.5,1,1,100,Northern Metropolitan,116
Northcote,2,u,770000,2016,5.5,1,1,115,Northern Metropolitan,41
Northcote,3,h,1000000,2016,5.5,1,1,131,Northern Metropolitan,86
Northcote,2,h,1050000,2016,5.5,1,2,100,Northern Metropolitan,91
Northcote,5,h,1700000,2016,5.5,3,1,265,Northern Metropolitan,86
Northcote,3,h,2160000,2016,5.5,2,1,90,Northern Metropolitan,96
Northcote,4,h,1420000,2016,5.5,1,1,137,Northern Metropolitan,126
Northcote,4,h,1950000,2016,5.5,2,1,140,Northern Metropolitan,106
Northcote,5,h,1820000,2016,5.5,3,2,230,Northern Metropolitan,77
Northcote,3,h,1080000,2016,5.5,1,1,130,Northern Metropolitan,106
Northcote,2,h,1340000,2016,5.5,1,1,108,Northern Metropolitan,106
Northcote,4,h,2340000,2016,5.5,2,3,231,Northern Metropolitan,96
Northcote,2,h,1634000,2016,5.5,1,2,109,Northern Metropolitan,96
Northcote,2,h,910000,2016,5.5,1,1,81,Northern Metropolitan,21
Northcote,4,h,1650000,2016,5.5,1,1,168,Northern Metropolitan,46
Northcote,3,h,1510000,2016,5.5,1,3,165,Northern Metropolitan,116
Oak Park,4,h,865000,2016,11.5,1,2,160,Northern Metropolitan,61
Oak Park,2,u,476000,2016,11.5,1,1,85,Northern Metropolitan,21
Oak Park,3,h,706000,2016,11.5,1,0,111,Northern Metropolitan,56
Oak Park,4,h,920000,2016,11.5,2,2,179,Northern Metropolitan,51
Oak Park,2,u,522000,2016,11.5,1,1,91,Northern Metropolitan,4
Oak Park,4,h,690000,2016,11.5,1,1,137,Northern Metropolitan,56
Oak Park,3,t,770000,2017,11.5,2,2,138,Northern Metropolitan,5
Oak Park,5,h,1100000,2016,11.5,2,4,223,Northern Metropolitan,66
Oak Park,2,t,475000,2016,11.5,1,1,113,Northern Metropolitan,6
Oak Park,3,u,651000,2016,11.5,2,2,113,Northern Metropolitan,7
Oak Park,3,h,815500,2016,11.5,2,2,165,Northern Metropolitan,76
Oak Park,3,h,770000,2016,11.5,2,2,173,Northern Metropolitan,56
Oak Park,2,t,585500,2017,11.5,1,1,86,Northern Metropolitan,4
Oak Park,4,h,840000,2016,11.5,1,2,196,Northern Metropolitan,56
Oak Park,2,u,470000,2016,11.5,1,1,76,Northern Metropolitan,7
Oak Park,3,h,810000,2016,11.5,1,3,93,Northern Metropolitan,56
Oak Park,4,h,855333,2016,11.5,1,2,183,Northern Metropolitan,42
Oak Park,5,h,900000,2016,11.5,2,2,260,Northern Metropolitan,21
Oakleigh South,3,h,875000,2017,14.7,2,1,105,South-Eastern Metropolitan,18
Oakleigh South,4,h,651000,2016,14.7,2,2,189,South-Eastern Metropolitan,6
Oakleigh South,3,h,802000,2016,14.7,1,2,120,South-Eastern Metropolitan,56
Oakleigh South,5,h,900000,2017,14.7,2,2,239,South-Eastern Metropolitan,30
Oakleigh South,3,h,1000000,2016,14.7,2,2,120,South-Eastern Metropolitan,56
Oakleigh South,4,h,801347,2016,14.7,2,1,164,South-Eastern Metropolitan,46
Oakleigh South,3,h,921000,2017,14.7,1,2,129,South-Eastern Metropolitan,47
Oakleigh South,6,h,1900000,2017,14.7,2,6,181,South-Eastern Metropolitan,47
Oakleigh South,2,h,752500,2016,14.7,1,1,112,South-Eastern Metropolitan,66
Oakleigh South,3,h,1067000,2017,14.7,1,2,122,South-Eastern Metropolitan,77
Oakleigh South,3,h,1260500,2016,14.7,1,1,107,South-Eastern Metropolitan,66
Oakleigh South,3,h,850500,2016,14.7,1,2,118,South-Eastern Metropolitan,54
Oakleigh South,3,h,1068000,2016,14.7,2,2,172,South-Eastern Metropolitan,46
Oakleigh South,4,h,937500,2016,14.7,2,2,226,South-Eastern Metropolitan,23
Oakleigh South,4,h,1126000,2016,14.7,2,2,242,South-Eastern Metropolitan,36
Oakleigh South,2,h,778000,2016,14.7,1,1,89,South-Eastern Metropolitan,51
Parkville,4,h,1230000,2016,2.6,2,2,249,Northern Metropolitan,7
Parkville,2,h,1805000,2016,2.6,1,1,102,Northern Metropolitan,126
Parkville,2,h,2200000,2016,2.6,2,1,172,Northern Metropolitan,141
Parkville,2,h,1265000,2016,2.6,1,0,102,Northern Metropolitan,126
Parkville,4,h,1928000,2016,2.6,1,0,186,Northern Metropolitan,126
Parkville,1,u,526000,2017,2.6,1,1,50,Northern Metropolitan,22
Parkville,3,h,2236000,2016,2.6,2,1,196,Northern Metropolitan,126
Parkville,3,u,1403000,2016,2.6,2,2,132,Northern Metropolitan,36
Pascoe Vale,3,h,1120000,2016,9.9,1,2,141,Northern Metropolitan,66
Pascoe Vale,3,h,770000,2016,9.9,1,4,120,Northern Metropolitan,56
Pascoe Vale,4,h,975000,2016,9.9,1,1,159,Northern Metropolitan,56
Pascoe Vale,3,h,780000,2017,9.9,1,1,115,Northern Metropolitan,67
Pascoe Vale,3,u,600000,2017,9.9,1,1,124,Northern Metropolitan,9
Pascoe Vale,4,h,955000,2017,9.9,2,2,135,Northern Metropolitan,67
Pascoe Vale,4,h,1196000,2017,9.9,2,2,281,Northern Metropolitan,20
Pascoe Vale,3,h,731000,2016,9.9,1,2,111,Northern Metropolitan,56
Pascoe Vale,3,u,585000,2016,9.9,1,1,98,Northern Metropolitan,7
Pascoe Vale,2,t,480000,2016,9.9,1,1,94,Northern Metropolitan,28
Pascoe Vale,4,t,605000,2016,9.9,2,1,157,Northern Metropolitan,26
Pascoe Vale,3,h,738000,2016,9.9,1,1,106,Northern Metropolitan,42
Pascoe Vale,2,h,386000,2016,9.9,1,1,67,Northern Metropolitan,29
Pascoe Vale,2,u,452000,2016,9.9,1,1,87,Northern Metropolitan,26
Pascoe Vale,3,h,522500,2016,9.9,1,1,121,Northern Metropolitan,11
Pascoe Vale,2,h,741000,2016,9.9,1,2,300,Northern Metropolitan,10
Pascoe Vale,2,t,530000,2016,9.9,1,1,98,Northern Metropolitan,12
Pascoe Vale,3,h,815000,2016,9.9,1,1,94,Northern Metropolitan,56
Pascoe Vale,3,h,775000,2016,9.9,1,1,103,Northern Metropolitan,56
Pascoe Vale,5,h,950000,2016,9.9,2,2,166,Northern Metropolitan,66
Pascoe Vale,3,h,900000,2016,9.9,1,1,139,Northern Metropolitan,66
Pascoe Vale,3,h,835000,2016,9.9,1,2,132,Northern Metropolitan,66
Pascoe Vale,3,t,790000,2016,9.9,3,1,175,Northern Metropolitan,7
Pascoe Vale,4,h,810000,2016,9.9,2,1,147,Northern Metropolitan,66
Pascoe Vale,2,t,500000,2016,9.9,1,1,109,Northern Metropolitan,4
Pascoe Vale,2,u,485000,2016,9.9,1,1,74,Northern Metropolitan,41
Pascoe Vale,2,u,488000,2016,9.9,1,2,84,Northern Metropolitan,15
Pascoe Vale,3,h,900000,2016,9.9,2,2,168,Northern Metropolitan,76
Pascoe Vale,2,h,680000,2016,9.9,1,2,95,Northern Metropolitan,76
Pascoe Vale,3,t,590000,2016,9.9,2,2,142,Northern Metropolitan,16
Pascoe Vale,3,h,770000,2016,9.9,1,3,124,Northern Metropolitan,61
Pascoe Vale,3,h,975000,2016,9.9,1,3,151,Northern Metropolitan,46
Pascoe Vale,4,h,970000,2016,9.9,2,1,154,Northern Metropolitan,96
Pascoe Vale,3,t,600000,2016,9.9,3,1,107,Northern Metropolitan,76
Pascoe Vale,2,t,510000,2016,9.9,1,1,91,Northern Metropolitan,3
Pascoe Vale,3,h,750000,2017,9.9,2,2,146,Northern Metropolitan,18
Pascoe Vale,4,h,822000,2017,9.9,2,2,194,Northern Metropolitan,34
Pascoe Vale,3,t,430000,2016,9.9,2,1,106,Northern Metropolitan,10
Pascoe Vale,4,h,1350000,2016,9.9,2,2,287,Northern Metropolitan,21
Pascoe Vale,2,h,810000,2016,9.9,1,1,94,Northern Metropolitan,66
Pascoe Vale,2,t,550500,2016,9.9,1,2,100,Northern Metropolitan,4
Pascoe Vale,2,t,610000,2016,9.9,1,1,109,Northern Metropolitan,21
Pascoe Vale,3,u,533000,2016,9.9,2,2,111,Northern Metropolitan,9
Pascoe Vale,2,t,410000,2016,9.9,1,1,88,Northern Metropolitan,2
Pascoe Vale,3,h,600000,2016,9.9,1,4,111,Northern Metropolitan,61
Pascoe Vale,3,h,616000,2016,9.9,1,1,108,Northern Metropolitan,46
Pascoe Vale,3,h,960000,2017,9.9,1,2,111,Northern Metropolitan,67
Pascoe Vale,4,h,985000,2017,9.9,2,2,182,Northern Metropolitan,10
Pascoe Vale,3,h,670000,2017,9.9,1,1,145,Northern Metropolitan,68
Pascoe Vale,4,t,665000,2016,9.9,2,2,141,Northern Metropolitan,15
Pascoe Vale,3,h,880000,2016,9.9,2,2,106,Northern Metropolitan,56
Pascoe Vale,3,h,700000,2016,9.9,1,2,104,Northern Metropolitan,66
Pascoe Vale,3,t,600000,2016,9.9,2,1,139,Northern Metropolitan,18
Pascoe Vale,2,h,1570000,2016,9.9,1,1,265,Northern Metropolitan,66
Pascoe Vale,2,h,525500,2016,9.9,1,1,84,Northern Metropolitan,16
Pascoe Vale,3,h,612500,2016,9.9,1,1,132,Northern Metropolitan,66
Pascoe Vale,3,h,960000,2016,9.9,2,2,501,Northern Metropolitan,56
Pascoe Vale,4,h,650000,2016,9.9,1,2,141,Northern Metropolitan,76
Pascoe Vale,3,h,500000,2016,9.9,1,2,92,Northern Metropolitan,3
Pascoe Vale,3,h,599000,2016,9.9,1,1,100,Northern Metropolitan,66
Port Melbourne,3,h,985000,2016,3.8,1,0,167,Southern Metropolitan,126
Port Melbourne,3,h,2200000,2016,3.8,2,0,280,Southern Metropolitan,153
Port Melbourne,4,h,2105000,2016,3.8,2,3,181,Southern Metropolitan,76
Port Melbourne,4,h,1915000,2017,3.8,3,1,237,Southern Metropolitan,82
Port Melbourne,3,h,1630000,2017,3.8,2,2,135,Southern Metropolitan,20
Port Melbourne,2,h,1000000,2016,3.8,2,0,108,Southern Metropolitan,126
Port Melbourne,3,h,1470000,2016,3.8,1,0,109,Southern Metropolitan,136
Port Melbourne,3,h,1342000,2016,3.8,2,2,137,Southern Metropolitan,116
Port Melbourne,2,u,795000,2016,3.8,2,1,84,Southern Metropolitan,3
Port Melbourne,2,h,1275000,2016,3.8,2,1,115,Southern Metropolitan,1
Port Melbourne,2,h,1000000,2016,3.8,1,1,106,Southern Metropolitan,9
Port Melbourne,4,h,1820000,2016,3.8,2,1,158,Southern Metropolitan,116
Port Melbourne,2,h,1350000,2016,3.8,1,1,94,Southern Metropolitan,116
Port Melbourne,3,h,1560000,2016,3.8,2,2,131,Southern Metropolitan,116
Port Melbourne,2,h,1060000,2016,3.8,1,0,70,Southern Metropolitan,106
Port Melbourne,2,h,1101000,2016,3.8,1,0,71,Southern Metropolitan,106
Port Melbourne,2,h,880000,2016,3.8,1,2,83,Southern Metropolitan,36
Port Melbourne,2,h,1080000,2016,3.8,1,0,70,Southern Metropolitan,106
Port Melbourne,2,h,1115000,2016,3.8,1,0,76,Southern Metropolitan,116
Port Melbourne,3,h,1753000,2016,3.8,2,1,153,Southern Metropolitan,106
Port Melbourne,2,h,900000,2016,3.8,1,0,70,Southern Metropolitan,116
Port Melbourne,5,h,2350000,2016,3.8,1,2,173,Southern Metropolitan,126
Port Melbourne,3,h,1670000,2016,3.8,2,1,169,Southern Metropolitan,136
Port Melbourne,3,h,1402000,2016,3.8,1,0,106,Southern Metropolitan,116
Port Melbourne,3,h,1570000,2016,3.8,2,1,211,Southern Metropolitan,17
Port Melbourne,2,h,1150000,2017,3.8,1,0,90,Southern Metropolitan,107
Port Melbourne,3,h,1384000,2016,3.8,1,0,100,Southern Metropolitan,111
Port Melbourne,2,h,1400000,2017,3.8,1,1,102,Southern Metropolitan,83
Port Melbourne,1,u,600000,2017,3.8,1,1,63,Southern Metropolitan,7
Port Melbourne,3,u,2460000,2016,3.8,2,2,102,Southern Metropolitan,21
Port Melbourne,3,h,1350000,2016,3.8,1,1,138,Southern Metropolitan,26
Port Melbourne,3,h,1080000,2016,3.8,1,2,95,Southern Metropolitan,106
Prahran,2,h,950000,2016,4.5,1,1,121,Southern Metropolitan,16
Prahran,3,t,1245000,2016,4.5,2,1,134,Southern Metropolitan,16
Prahran,2,h,1182500,2016,4.5,1,0,72,Southern Metropolitan,116
Prahran,2,h,1303000,2016,4.5,1,0,160,Southern Metropolitan,116
Prahran,1,u,482500,2016,4.5,1,1,50,Southern Metropolitan,46
Prahran,2,h,1590000,2016,4.5,1,2,107,Southern Metropolitan,86
Prahran,2,h,1055000,2016,4.5,1,0,85,Southern Metropolitan,116
Prahran,3,h,1100000,2016,4.5,1,1,99,Southern Metropolitan,15
Prahran,2,h,1500000,2016,4.5,1,2,108,Southern Metropolitan,86
Prahran,2,h,815000,2016,4.5,1,0,71,Southern Metropolitan,136
Prahran,2,h,910000,2016,4.5,1,1,71,Southern Metropolitan,86
Prahran,3,t,1450000,2016,4.5,2,3,98,Southern Metropolitan,21
Prahran,2,t,1540000,2016,4.5,2,1,104,Southern Metropolitan,71
Prahran,3,h,1811000,2016,4.5,2,1,125,Southern Metropolitan,126
Prahran,2,h,1180000,2016,4.5,1,0,215,Southern Metropolitan,116
Prahran,3,h,1720000,2017,4.5,2,2,200,Southern Metropolitan,18
Prahran,3,h,1050000,2017,4.5,2,1,130,Southern Metropolitan,22
Prahran,2,h,1582000,2017,4.5,1,0,122,Southern Metropolitan,102
Prahran,2,h,1305000,2016,4.5,1,1,79,Southern Metropolitan,116
Prahran,3,h,1255000,2016,4.5,1,1,124,Southern Metropolitan,106
Prahran,3,h,2180000,2016,4.5,2,2,153,Southern Metropolitan,126
Prahran,3,h,1720000,2016,4.5,2,1,163,Southern Metropolitan,116
Prahran,3,h,1220000,2016,4.5,2,1,100,Southern Metropolitan,116
Prahran,3,h,1612000,2016,4.5,2,0,139,Southern Metropolitan,116
Preston,3,h,1250000,2016,8.8,1,2,141,Northern Metropolitan,36
Preston,4,h,930000,2016,8.8,2,2,180,Northern Metropolitan,96
Preston,2,t,715000,2017,8.8,1,1,121,Northern Metropolitan,8
Preston,2,h,837000,2017,8.8,1,3,96,Northern Metropolitan,67
Preston,3,h,950000,2016,8.8,1,2,180,Northern Metropolitan,98
Preston,3,u,496000,2016,8.8,1,1,98,Northern Metropolitan,26
Preston,2,h,850000,2016,8.8,1,1,102,Northern Metropolitan,76
Preston,2,h,540000,2016,8.8,1,2,97,Northern Metropolitan,11
Preston,3,h,1150000,2016,8.8,1,2,143,Northern Metropolitan,106
Preston,3,h,615000,2016,8.8,1,2,87,Northern Metropolitan,66
Preston,3,h,735000,2016,8.8,1,2,94,Northern Metropolitan,66
Preston,4,h,810000,2016,8.8,2,2,151,Northern Metropolitan,66
Preston,2,h,600000,2016,8.8,1,2,106,Northern Metropolitan,11
Preston,3,h,1650000,2016,8.8,1,2,129,Northern Metropolitan,126
Preston,3,h,600000,2016,8.8,1,3,101,Northern Metropolitan,66
Preston,2,h,722000,2016,8.8,1,1,88,Northern Metropolitan,61
Preston,4,h,1260000,2016,8.8,3,2,150,Northern Metropolitan,66
Preston,2,u,485000,2016,8.8,1,1,73,Northern Metropolitan,51
Preston,3,h,690000,2016,8.8,1,1,92,Northern Metropolitan,56
Preston,2,h,1065000,2016,8.8,1,3,114,Northern Metropolitan,106
Preston,3,h,1200000,2016,8.8,1,1,120,Northern Metropolitan,51
Preston,2,u,530000,2016,8.8,1,1,74,Northern Metropolitan,46
Preston,3,h,900000,2016,8.8,1,1,147,Northern Metropolitan,51
